theta thetadot
-1.57 -2.0
-1.57 -1.6
-1.57 -1.2
-1.57 -0.8
-1.57 -0.4
-1.57 0
-1.57 0.4
-1.57 0.8
-1.57 1.2
-1.57 1.6
-1.57 2.0
-0.7069 -2.0
-0.7069 -1.6
-0.7069 -1.2
-0.7069 -0.8
-0.7069 -0.4
-0.7069 0
-0.7069 0.4
-0.7069 0.8
-0.7069 1.2
-0.7069 1.6
-0.7069 2.0
-0.5498 -2.0
-0.5498 -1.6
-0.5498 -1.2
-0.5498 -0.8
-0.5498 -0.4
-0.5498 0
-0.5498 0.4
-0.5498 0.8
-0.5498 1.2
-0.5498 1.6
-0.5498 2.0
-0.3927 -2.0
-0.3927 -1.6
-0.3927 -1.2
-0.3927 -0.8
-0.3927 -0.4
-0.3927 0
-0.3927 0.4
-0.3927 0.8
-0.3927 1.2
-0.3927 1.6
-0.3927 2.0
-0.2356 -2.0
-0.2356 -1.6
-0.2356 -1.2
-0.2356 -0.8
-0.2356 -0.4
-0.2356 0
-0.2356 0.4
-0.2356 0.8
-0.2356 1.2
-0.2356 1.6
-0.2356 2.0
-0.0785 -2.0
-0.0785 -1.6
-0.0785 -1.2
-0.0785 -0.8
-0.0785 -0.4
-0.0785 0
-0.0785 0.4
-0.0785 0.8
-0.0785 1.2
-0.0785 1.6
-0.0785 2.0
0 -2.0
0 -1.6
0 -1.2
0 -0.8
0 -0.4
0 0
0 0.4
0 0.8
0 1.2
0 1.6
0 2.0
0.0785 -2.0
0.0785 -1.6
0.0785 -1.2
0.0785 -0.8
0.0785 -0.4
0.0785 0
0.0785 0.4
0.0785 0.8
0.0785 1.2
0.0785 1.6
0.0785 2.0
0.2356 -2.0
0.2356 -1.6
0.2356 -1.2
0.2356 -0.8
0.2356 -0.4
0.2356 0
0.2356 0.4
0.2356 0.8
0.2356 1.2
0.2356 1.6
0.2356 2.0
0.3927 -2.0
0.3927 -1.6
0.3927 -1.2
0.3927 -0.8
0.3927 -0.4
0.3927 0
0.3927 0.4
0.3927 0.8
0.3927 1.2
0.3927 1.6
0.3927 2.0
0.5498 -2.0
0.5498 -1.6
0.5498 -1.2
0.5498 -0.8
0.5498 -0.4
0.5498 0
0.5498 0.4
0.5498 0.8
0.5498 1.2
0.5498 1.6
0.5498 2.0
0.7069 -2.0
0.7069 -1.6
0.7069 -1.2
0.7069 -0.8
0.7069 -0.4
0.7069 0
0.7069 0.4
0.7069 0.8
0.7069 1.2
0.7069 1.6
0.7069 2.0
1.57 -2.0
1.57 -1.6
1.57 -1.2
1.57 -0.8
1.57 -0.4
1.57 0
1.57 0.4
1.57 0.8
1.57 1.2
1.57 1.6
1.57 2.0
